17,[[-0.680513,2.01524,0.162288],[-0.454246,1.07403,-0.326036],[-0.606405,-0.345633,1.32655],[-0.0592798,-0.24768,-0.458419],[0.319072,0.101547,2.19987],[-0.0647095,-0.272845,0.155889],[0.946203,0.758091,-0.184278],[-0.715364,-1.4288,0.519025],[-0.268618,1.49199,0.183665],[-0.0164654,0.458989,1.26869]]
18,[[-0.690756,2.03467,0.161362],[-0.461949,1.07687,-0.329127],[-0.595124,-0.339248,1.32595],[-0.0499034,-0.250116,-0.452845],[0.323733,0.0983784,2.21339],[-0.071964,-0.278695,0.159139],[0.940506,0.756761,-0.183232],[-0.716763,-1.44942,0.516668],[-0.281786,1.50817,0.164614],[-0.00937937,0.468984,1.2641]]
19,[[-0.70092,2.05392,0.160419],[-0.469582,1.07966,-0.332114],[-0.583762,-0.332811,1.32524],[-0.0405423,-0.252503,-0.446988],[0.328337,0.0952115,2.22678],[-0.0792356,-0.284483,0.162243],[0.934679,0.755377,-0.182152],[-0.718114,-1.46992,0.514309],[-0.294999,1.52417,0.145464],[-0.00233694,0.478881,1.25942]]
20,[[-0.711007,2.073,0.159458],[-0.477147,1.0824,-0.334998],[-0.57232,-0.32632,1.32443],[-0.0312027,-0.254841,-0.440849],[0.332884,0.0920467,2.24003],[-0.0865173,-0.290207,0.1652],[0.928722,0.753938,-0.181039],[-0.719417,-1.49029,0.511948],[-0.308253,1.54002,0.126218],[0.00466121,0.488679,1.25466]]
21,[[-0.721017,2.09192,0.158478],[-0.484643,1.08509,-0.33778],[-0.560798,-0.319777,1.32352],[-0.0218908,-0.257132,-0.434427],[0.337376,0.0888841,2.25316],[-0.0938019,-0.295866,0.168009],[0.922636,0.752446,-0.179892],[-0.720673,-1.51053,0.509585],[-0.321549,1.55569,0.106881],[0.0116144,0.498376,1.24981]]
22,[[-0.730952,2.11067,0.157478],[-0.492069,1.08774,-0.340462],[-0.549197,-0.313181,1.3225],[-0.0126128,-0.259376,-0.427722],[0.341815,0.0857237,2.26616],[-0.101082,-0.301458,0.170671],[0.916421,0.750898,-0.178712],[-0.721883,-1.53065,0.50722],[-0.334884,1.57119,0.0874559],[0.0185221,0.507973,1.24489]]
23,[[-0.740813,2.12926,0.156457],[-0.499426,1.09035,-0.343043],[-0.537519,-0.306532,1.32137],[-0.00337499,-0.261575,-0.420736],[0.346201,0.0825653,2.27903],[-0.10835,-0.306983,0.173185],[0.910076,0.749294,-0.177499],[-0.723047,-1.55065,0.504852],[-0.348258,1.58652,0.0679489],[0.0253836,0.517468,1.23987]]
24,[[-0.750601,2.14769,0.155415],[-0.506713,1.09292,-0.345525],[-0.525764,-0.29983,1.32013],[0.00581627,-0.26373,-0.413468],[0.350535,0.0794091,2.29177],[-0.115599,-0.312438,0.175552],[0.903604,0.747634,-0.176252],[-0.724167,-1.57053,0.502481],[-0.361667,1.60166,0.0483644],[0.0321986,0.526861,1.23478]]
25,[[-0.760317,2.16595,0.15435],[-0.513932,1.09546,-0.34791],[-0.513934,-0.293075,1.31879],[0.0149546,-0.265842,-0.40592],[0.354819,0.0762551,2.3044],[-0.122821,-0.317822,0.177773],[0.897003,0.745917,-0.174972],[-0.725244,-1.59029,0.500106],[-0.37511,1.61662,0.028708],[0.0389664,0.536151,1.22959]]
26,[[-0.769964,2.18407,0.153262],[-0.521081,1.09796,-0.3502],[-0.502029,-0.286267,1.31733],[0.0240337,-0.267911,-0.398092],[0.359054,0.0731033,2.3169],[-0.130009,-0.323134,0.179847],[0.890274,0.744141,-0.173658],[-0.726276,-1.60994,0.497728],[-0.388586,1.6314,0.00898499],[0.0456866,0.545338,1.22433]]
